role_id,provider,privilege_level,description,privilege_score
CR00879,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00880,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00881,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00882,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00883,Azure,read_only,Limited read-only access to cloud resources.,1
CR00884,AWS,read_only,Limited read-only access to cloud resources.,1
CR00885,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00886,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR00887,GCP,read_only,Limited read-only access to cloud resources.,1
CR00888,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00889,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00890,AWS,read_only,Limited read-only access to cloud resources.,2
CR00891,Azure,security_engineer,Access to security monitoring and policy configuration.,7
CR00892,Azure,read_only,Limited read-only access to cloud resources.,1
CR00893,AWS,read_only,Limited read-only access to cloud resources.,2
CR00894,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR00895,GCP,developer,Developer-level access to compute and storage APIs.,3
CR00896,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00897,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00898,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR00899,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00900,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR00901,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00902,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00903,AWS,tech_user,Basic operational access for assigned services.,3
CR00904,AWS,read_only,Limited read-only access to cloud resources.,1
CR00905,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00906,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00907,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR00908,Oracle,security_engineer,Access to security monitoring and policy configuration.,7
CR00909,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00910,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00911,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00912,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00913,GCP,system_admin,High-privilege system-level access.,9
CR00914,Azure,tech_user,Basic operational access for assigned services.,2
CR00915,Oracle,tech_user,Basic operational access for assigned services.,2
CR00916,DigitalOcean,system_admin,High-privilege system-level access.,7
CR00917,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00918,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00919,GCP,read_only,Limited read-only access to cloud resources.,2
CR00920,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00921,GCP,read_only,Limited read-only access to cloud resources.,1
CR00922,DigitalOcean,developer,Developer-level access to compute and storage APIs.,4
CR00923,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR00924,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00925,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR00926,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00927,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR00928,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00929,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00930,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00931,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00932,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR00933,DigitalOcean,developer,Developer-level access to compute and storage APIs.,4
CR00934,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00935,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00936,GCP,system_admin,High-privilege system-level access.,8
CR00937,Azure,read_only,Limited read-only access to cloud resources.,1
CR00938,AWS,tech_user,Basic operational access for assigned services.,2
CR00939,Oracle,developer,Developer-level access to compute and storage APIs.,5
CR00940,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR00941,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR00942,DigitalOcean,developer,Developer-level access to compute and storage APIs.,4
CR00943,GCP,tech_user,Basic operational access for assigned services.,2
CR00944,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00945,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00946,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR00947,DigitalOcean,system_admin,High-privilege system-level access.,7
CR00948,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR00949,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00950,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00951,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00952,Azure,tenant_admin,Full administrative access within a specific tenant.,8
CR00953,GCP,tech_user,Basic operational access for assigned services.,2
CR00954,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR00955,AWS,system_admin,High-privilege system-level access.,8
CR00956,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00957,Azure,read_only,Limited read-only access to cloud resources.,1
CR00958,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR00959,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR00960,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR00961,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00962,Oracle,tech_user,Basic operational access for assigned services.,3
CR00963,AWS,system_admin,High-privilege system-level access.,8
CR00964,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR00965,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00966,Azure,read_only,Limited read-only access to cloud resources.,1
CR00967,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00968,GCP,read_only,Limited read-only access to cloud resources.,2
CR00969,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR00970,Azure,system_admin,High-privilege system-level access.,7
CR00971,AWS,system_admin,High-privilege system-level access.,8
CR00972,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00973,AWS,cloud_super_admin,Global privileged control across provider resources.,12
CR00974,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR00975,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00976,GCP,read_only,Limited read-only access to cloud resources.,1
CR00977,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,11
CR00978,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00979,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR00980,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR00981,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR00982,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00983,Azure,tech_user,Basic operational access for assigned services.,2
CR00984,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00985,GCP,read_only,Limited read-only access to cloud resources.,1
CR00986,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR00987,AWS,read_only,Limited read-only access to cloud resources.,1
CR00988,Oracle,security_engineer,Access to security monitoring and policy configuration.,5
CR00989,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00990,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00991,Azure,system_admin,High-privilege system-level access.,9
CR00992,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR00993,AWS,read_only,Limited read-only access to cloud resources.,2
CR00994,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR00995,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR00996,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00997,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR00998,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00999,AWS,read_only,Limited read-only access to cloud resources.,2
CR01000,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR01001,GCP,tech_user,Basic operational access for assigned services.,3
CR01002,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR01003,Azure,system_admin,High-privilege system-level access.,9
CR01004,Oracle,system_admin,High-privilege system-level access.,8
CR01005,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR01006,GCP,read_only,Limited read-only access to cloud resources.,2
CR01007,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR01008,Oracle,tech_user,Basic operational access for assigned services.,2
CR01009,Azure,security_engineer,Access to security monitoring and policy configuration.,7
CR01010,AWS,system_admin,High-privilege system-level access.,9
CR01011,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR01012,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR01013,AWS,tenant_admin,Full administrative access within a specific tenant.,8
CR01014,AWS,developer,Developer-level access to compute and storage APIs.,5
CR01015,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR01016,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR01017,AWS,system_admin,High-privilege system-level access.,7
CR01018,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR01019,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR01020,AWS,developer,Developer-level access to compute and storage APIs.,4
CR01021,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR01022,Azure,developer,Developer-level access to compute and storage APIs.,4
CR01023,GCP,system_admin,High-privilege system-level access.,8
CR01024,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR01025,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,7
CR01026,Azure,security_engineer,Access to security monitoring and policy configuration.,7
CR01027,AWS,developer,Developer-level access to compute and storage APIs.,5
CR01028,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR01029,AWS,tech_user,Basic operational access for assigned services.,2
CR01030,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR01031,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,11
CR01032,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR01033,GCP,tech_user,Basic operational access for assigned services.,3
CR01034,Oracle,security_engineer,Access to security monitoring and policy configuration.,7
CR01035,AWS,read_only,Limited read-only access to cloud resources.,1
CR01036,Azure,read_only,Limited read-only access to cloud resources.,1
CR01037,AWS,tech_user,Basic operational access for assigned services.,2
CR01038,GCP,system_admin,High-privilege system-level access.,9
CR01039,AWS,developer,Developer-level access to compute and storage APIs.,4
CR01040,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR01041,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR01042,GCP,system_admin,High-privilege system-level access.,7
CR01043,AWS,read_only,Limited read-only access to cloud resources.,1
CR01044,Oracle,tech_user,Basic operational access for assigned services.,3
CR01045,GCP,tech_user,Basic operational access for assigned services.,3
CR01046,Oracle,tech_user,Basic operational access for assigned services.,2
CR01047,Oracle,system_admin,High-privilege system-level access.,9
CR01048,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR01049,Azure,developer,Developer-level access to compute and storage APIs.,4
CR01050,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR01051,AWS,developer,Developer-level access to compute and storage APIs.,3
CR01052,Oracle,security_engineer,Access to security monitoring and policy configuration.,7
CR01053,Oracle,read_only,Limited read-only access to cloud resources.,1
CR01054,Oracle,developer,Developer-level access to compute and storage APIs.,5
CR01055,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR01056,Azure,read_only,Limited read-only access to cloud resources.,2
CR01057,AWS,read_only,Limited read-only access to cloud resources.,1
CR01058,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR01059,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR01060,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR01061,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR01062,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR01063,Azure,tech_user,Basic operational access for assigned services.,2
CR01064,GCP,read_only,Limited read-only access to cloud resources.,1
CR01065,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR01066,Oracle,cloud_super_admin,Global privileged control across provider resources.,10
CR01067,AWS,tech_user,Basic operational access for assigned services.,3
CR01068,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR01069,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR01070,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR01071,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR01072,GCP,developer,Developer-level access to compute and storage APIs.,3
CR01073,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR01074,Oracle,cloud_super_admin,Global privileged control across provider resources.,10
CR01075,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR01076,AWS,read_only,Limited read-only access to cloud resources.,1
CR01077,Oracle,system_admin,High-privilege system-level access.,9
CR01078,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR01079,AWS,developer,Developer-level access to compute and storage APIs.,4
CR01080,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR01081,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR01082,Azure,tech_user,Basic operational access for assigned services.,3
CR01083,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR01084,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR01085,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR01086,GCP,system_admin,High-privilege system-level access.,9
CR01087,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR01088,Azure,read_only,Limited read-only access to cloud resources.,2
CR01089,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR01090,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR01091,DigitalOcean,system_admin,High-privilege system-level access.,9
CR01092,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR01093,Oracle,read_only,Limited read-only access to cloud resources.,2
CR01094,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR01095,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR01096,Azure,tech_user,Basic operational access for assigned services.,2
CR01097,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR01098,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR01099,DigitalOcean,developer,Developer-level access to compute and storage APIs.,4
CR01100,Azure,tech_user,Basic operational access for assigned services.,2
CR01101,Oracle,system_admin,High-privilege system-level access.,7
CR01102,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR01103,Oracle,developer,Developer-level access to compute and storage APIs.,5
CR01104,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR01105,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR01106,DigitalOcean,system_admin,High-privilege system-level access.,7
CR01107,Oracle,security_engineer,Access to security monitoring and policy configuration.,7
CR01108,Azure,read_only,Limited read-only access to cloud resources.,1
CR01109,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR01110,AWS,cloud_super_admin,Global privileged control across provider resources.,12
CR01111,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR01112,Oracle,developer,Developer-level access to compute and storage APIs.,5
CR01113,Oracle,tech_user,Basic operational access for assigned services.,2
CR01114,GCP,developer,Developer-level access to compute and storage APIs.,4
CR01115,GCP,system_admin,High-privilege system-level access.,9
CR01116,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR01117,Azure,system_admin,High-privilege system-level access.,9
CR01118,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR01119,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR01120,Oracle,cloud_super_admin,Global privileged control across provider resources.,10
CR01121,DigitalOcean,system_admin,High-privilege system-level access.,8
CR01122,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR01123,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR01124,AWS,system_admin,High-privilege system-level access.,9
CR01125,AWS,tenant_admin,Full administrative access within a specific tenant.,8
CR01126,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR01127,AWS,cloud_super_admin,Global privileged control across provider resources.,12
CR01128,AWS,tech_user,Basic operational access for assigned services.,3
CR01129,GCP,developer,Developer-level access to compute and storage APIs.,4
CR01130,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR01131,AWS,developer,Developer-level access to compute and storage APIs.,5
CR01132,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR01133,DigitalOcean,system_admin,High-privilege system-level access.,7
CR01134,GCP,developer,Developer-level access to compute and storage APIs.,4
CR01135,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR01136,Azure,read_only,Limited read-only access to cloud resources.,1
CR01137,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR01138,Azure,system_admin,High-privilege system-level access.,9
CR01139,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR01140,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR01141,AWS,tech_user,Basic operational access for assigned services.,3
CR01142,DigitalOcean,system_admin,High-privilege system-level access.,8
CR01143,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR01144,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR01145,DigitalOcean,system_admin,High-privilege system-level access.,8
CR01146,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR01147,Oracle,system_admin,High-privilege system-level access.,9
CR01148,Azure,developer,Developer-level access to compute and storage APIs.,3
CR01149,AWS,developer,Developer-level access to compute and storage APIs.,3
CR01150,Oracle,tech_user,Basic operational access for assigned services.,2
CR01151,Oracle,tech_user,Basic operational access for assigned services.,3
CR01152,Oracle,system_admin,High-privilege system-level access.,9
CR01153,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR01154,Azure,security_engineer,Access to security monitoring and policy configuration.,7
CR01155,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR01156,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR01157,GCP,system_admin,High-privilege system-level access.,7
CR01158,GCP,developer,Developer-level access to compute and storage APIs.,3
CR01159,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR01160,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR01161,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR01162,GCP,system_admin,High-privilege system-level access.,8
CR01163,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR01164,GCP,tech_user,Basic operational access for assigned services.,3
CR01165,AWS,system_admin,High-privilege system-level access.,7
CR01166,Azure,read_only,Limited read-only access to cloud resources.,2
CR01167,AWS,system_admin,High-privilege system-level access.,8
CR01168,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR01169,Azure,system_admin,High-privilege system-level access.,8
CR01170,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR01171,GCP,system_admin,High-privilege system-level access.,8
CR01172,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR01173,AWS,tech_user,Basic operational access for assigned services.,2
CR01174,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR01175,Oracle,read_only,Limited read-only access to cloud resources.,2
CR01176,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR01177,GCP,system_admin,High-privilege system-level access.,7
CR01178,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR01179,AWS,tenant_admin,Full administrative access within a specific tenant.,9
CR01180,AWS,tech_user,Basic operational access for assigned services.,3
CR01181,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR01182,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR01183,GCP,system_admin,High-privilege system-level access.,8
CR01184,DigitalOcean,system_admin,High-privilege system-level access.,8
CR01185,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR01186,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR01187,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR01188,Azure,read_only,Limited read-only access to cloud resources.,2
CR01189,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR01190,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR01191,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR01192,AWS,system_admin,High-privilege system-level access.,9
CR01193,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR01194,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR01195,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR01196,DigitalOcean,system_admin,High-privilege system-level access.,7
CR01197,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR01198,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR01199,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR01200,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR01201,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR01202,AWS,tech_user,Basic operational access for assigned services.,2
CR01203,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR01204,Oracle,read_only,Limited read-only access to cloud resources.,2
CR01205,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR01206,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR01207,AWS,tech_user,Basic operational access for assigned services.,3
CR01208,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR01209,Azure,tech_user,Basic operational access for assigned services.,2
CR01210,AWS,system_admin,High-privilege system-level access.,9
CR01211,Azure,tech_user,Basic operational access for assigned services.,2
CR01212,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR01213,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR01214,GCP,tech_user,Basic operational access for assigned services.,2
CR01215,Oracle,read_only,Limited read-only access to cloud resources.,2
CR01216,GCP,system_admin,High-privilege system-level access.,7
CR01217,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR01218,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR01219,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR01220,Azure,system_admin,High-privilege system-level access.,9
CR01221,GCP,system_admin,High-privilege system-level access.,9
CR01222,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR01223,AWS,tenant_admin,Full administrative access within a specific tenant.,9
CR01224,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR01225,Azure,system_admin,High-privilege system-level access.,7
CR01226,GCP,read_only,Limited read-only access to cloud resources.,2
CR01227,Azure,tech_user,Basic operational access for assigned services.,3
CR01228,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR01229,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR01230,GCP,system_admin,High-privilege system-level access.,9
CR01231,AWS,read_only,Limited read-only access to cloud resources.,1
CR01232,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR01233,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,11
CR01234,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR01235,DigitalOcean,system_admin,High-privilege system-level access.,9
CR01236,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR01237,Azure,tech_user,Basic operational access for assigned services.,3
CR01238,GCP,tech_user,Basic operational access for assigned services.,2
CR01239,AWS,system_admin,High-privilege system-level access.,9
CR01240,Oracle,system_admin,High-privilege system-level access.,7
CR01241,Azure,system_admin,High-privilege system-level access.,7
CR01242,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR01243,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR01244,AWS,system_admin,High-privilege system-level access.,8
CR01245,AWS,tech_user,Basic operational access for assigned services.,2
CR01246,Oracle,tech_user,Basic operational access for assigned services.,2
CR01247,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR01248,Azure,developer,Developer-level access to compute and storage APIs.,3
CR01249,GCP,tech_user,Basic operational access for assigned services.,2
CR01250,Oracle,tech_user,Basic operational access for assigned services.,2
CR01251,Oracle,read_only,Limited read-only access to cloud resources.,1
CR01252,AWS,read_only,Limited read-only access to cloud resources.,1
CR01253,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR01254,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR01255,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR01256,AWS,developer,Developer-level access to compute and storage APIs.,4
CR01257,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR01258,Azure,tech_user,Basic operational access for assigned services.,2
CR01259,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,7
CR01260,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR01261,AWS,read_only,Limited read-only access to cloud resources.,2
CR01262,DigitalOcean,system_admin,High-privilege system-level access.,7
CR01263,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR01264,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR01265,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR01266,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR01267,Oracle,cloud_super_admin,Global privileged control across provider resources.,10
CR01268,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR01269,AWS,read_only,Limited read-only access to cloud resources.,1
CR01270,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR01271,DigitalOcean,system_admin,High-privilege system-level access.,7
CR01272,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR01273,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR01274,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR01275,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR01276,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR01277,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR01278,GCP,read_only,Limited read-only access to cloud resources.,2
CR01279,Azure,system_admin,High-privilege system-level access.,7
CR01280,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR01281,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR01282,Azure,tech_user,Basic operational access for assigned services.,3
CR01283,GCP,read_only,Limited read-only access to cloud resources.,2
CR01284,Azure,read_only,Limited read-only access to cloud resources.,2
CR01285,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR01286,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,11
CR01287,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR01288,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR01289,AWS,developer,Developer-level access to compute and storage APIs.,4
CR01290,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR01291,AWS,tech_user,Basic operational access for assigned services.,2
CR01292,Oracle,system_admin,High-privilege system-level access.,8
CR01293,Azure,read_only,Limited read-only access to cloud resources.,1
CR01294,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR01295,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR01296,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR01297,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR01298,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR01299,AWS,cloud_super_admin,Global privileged control across provider resources.,12
CR01300,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR01301,Oracle,tech_user,Basic operational access for assigned services.,3
CR01302,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR01303,AWS,tech_user,Basic operational access for assigned services.,3
CR01304,GCP,tech_user,Basic operational access for assigned services.,2
CR01305,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR01306,AWS,tech_user,Basic operational access for assigned services.,2
CR01307,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR01308,Azure,system_admin,High-privilege system-level access.,9
CR01309,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR01310,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR01311,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR01312,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR01313,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR01314,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR01315,DigitalOcean,tech_user,Basic operational access for assigned services.,2
